name	term	lev	seq	value
"endosome membrane"	GO:0010008	2	Amillepora16810	4.78572601588062
"endosome membrane"	GO:0010008	2	Amillepora18433	1.2964395202092696
"endosome membrane"	GO:0010008	2	Amillepora18482	0.49080546146708026
"endosome membrane"	GO:0010008	2	Amillepora26310	0.21280905195963726
"endosome membrane"	GO:0010008	2	Amillepora26536	1.6533687985216619
"endosome membrane"	GO:0010008	2	Amillepora13715	1.0680616152338778
"endosome membrane"	GO:0010008	2	Amillepora14157	1.7283373509598698
"endosome membrane"	GO:0010008	2	Amillepora14161	2.2678695620080043
"endosome membrane"	GO:0010008	2	Amillepora14170	0.3716970268110147
"endosome membrane"	GO:0010008	2	Amillepora14173	0.7213925008025571
"endosome membrane"	GO:0010008	2	Amillepora14259	3.3985229232434375
"endosome membrane"	GO:0010008	2	Amillepora14478	0.07511983314463908
"endosome membrane"	GO:0010008	2	Amillepora14779	0.16221431418879004
"endosome membrane"	GO:0010008	2	Amillepora15017	0.04737768758253549
"endosome membrane"	GO:0010008	2	Amillepora15242	0.2309878495806502
"endosome membrane"	GO:0010008	2	Amillepora15329	1.957893385054971
"endosome membrane"	GO:0010008	2	Amillepora15383	0.38922776274278015
"endosome membrane"	GO:0010008	2	Amillepora16066	0.22936896015088076
"endosome membrane"	GO:0010008	2	Amillepora25057	2.629493856263584
"endosome membrane"	GO:0010008	2	Amillepora25088	2.6060950368004012
"endosome membrane"	GO:0010008	2	Amillepora25301	0.3994022946771944
"endosome membrane"	GO:0010008	2	Amillepora25735	6.402400043673248
"endosome membrane"	GO:0010008	2	Amillepora25863	1.3511330579858465
"endosome membrane"	GO:0010008	2	Amillepora26145	11.321545978048151
"endosome membrane"	GO:0010008	2	Amillepora00090	2.291314766108486
"endosome membrane"	GO:0010008	2	Amillepora00094	0.933820826784636
"endosome membrane"	GO:0010008	2	Amillepora00446	4.404431264293643
"endosome membrane"	GO:0010008	2	Amillepora00777	0.5695456550655725
"endosome membrane"	GO:0010008	2	Amillepora00790	0.0475039667893724
"endosome membrane"	GO:0010008	2	Amillepora01614	0.638383685048083
"endosome membrane"	GO:0010008	2	Amillepora01736	0.18081529957943288
"endosome membrane"	GO:0010008	2	Amillepora01788	2.587398953789663
"endosome membrane"	GO:0010008	2	Amillepora02498	1.7925312972307712
"endosome membrane"	GO:0010008	2	Amillepora03165	0.13453738449299282
"endosome membrane"	GO:0010008	2	Amillepora03360	2.574556621939717
"endosome membrane"	GO:0010008	2	Amillepora04372	0.5877387866235204
"endosome membrane"	GO:0010008	2	Amillepora04734	1.6890572516717675
"endosome membrane"	GO:0010008	2	Amillepora05213	0.11761179235481012
"endosome membrane"	GO:0010008	2	Amillepora05782	4.307739947811554
