Alias	AvgSpotLen	BioSample	Description	Experiment	INSDC_first_public	INSDC_last_update	MBases	MBytes	Run	SRA_Sample	SRA_accession	Sample_Name	Title	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_checklist	INSDC_center_name	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
CBS3082_a_D01	51	SAMEA3556878	replicate 2	ERX1113214	2015-11-23T17:01:15Z	2015-09-24T14:04:09Z	1173	812	ERR1034416	ERS864027	ERS864027	SAMEA3556878 ERS864027	Lachancea kluyveri (CBS3082_a), galactose 2%	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_C02	51	SAMEA3556879	replicate 1	ERX1113215	2015-11-23T17:01:15Z	2015-09-24T14:04:09Z	1408	975	ERR1034417	ERS864028	ERS864028	SAMEA3556879 ERS864028	Lachancea kluyveri (CBS3082_a), glycerol 2%	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_D02	51	SAMEA3556880	replicate 2	ERX1113216	2015-11-23T17:01:15Z	2015-09-24T14:04:09Z	816	565	ERR1034418	ERS864029	ERS864029	SAMEA3556880 ERS864029	Lachancea kluyveri (CBS3082_a), glycerol 2%	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_C03	51	SAMEA3556881	replicate 1	ERX1113217	2015-11-23T17:01:15Z	2015-09-24T14:04:10Z	915	635	ERR1034419	ERS864030	ERS864030	SAMEA3556881 ERS864030	Lachancea kluyveri (CBS3082_a), low temperature (23?C)	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_D03	51	SAMEA3556882	replicate 2	ERX1113218	2015-11-23T17:01:15Z	2015-09-24T14:04:10Z	1162	802	ERR1034420	ERS864031	ERS864031	SAMEA3556882 ERS864031	Lachancea kluyveri (CBS3082_a), low temperature (23?C)	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_C04	51	SAMEA3556883	replicate 1	ERX1113219	2015-11-23T17:01:15Z	2015-09-24T14:04:10Z	816	567	ERR1034421	ERS864032	ERS864032	SAMEA3556883 ERS864032	Lachancea kluyveri (CBS3082_a), high temperature (37?C)	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_D04	51	SAMEA3556884	replicate 2	ERX1113220	2015-11-23T17:01:15Z	2015-09-24T14:04:10Z	1025	709	ERR1034422	ERS864033	ERS864033	SAMEA3556884 ERS864033	Lachancea kluyveri (CBS3082_a), high temperature (37?C)	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_C05	51	SAMEA3556885	replicate 1	ERX1113221	2015-11-23T17:01:15Z	2015-09-24T14:04:10Z	1126	783	ERR1034423	ERS864034	ERS864034	SAMEA3556885 ERS864034	Lachancea kluyveri (CBS3082_a), YNB NA	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_D05	51	SAMEA3556886	replicate 2	ERX1113222	2015-11-23T17:01:15Z	2015-09-24T14:04:10Z	1006	696	ERR1034424	ERS864035	ERS864035	SAMEA3556886 ERS864035	Lachancea kluyveri (CBS3082_a), YNB NA	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
CBS3082_a_C06	51	SAMEA3556887	replicate 1	ERX1113223	2015-11-23T17:01:15Z	2015-09-24T14:04:10Z	737	517	ERR1034425	ERS864036	ERS864036	SAMEA3556887 ERS864036	Lachancea kluyveri (CBS3082_a), ethanol 5%	RNA-Seq	PRJEB10946	UNIVERSITY OF STRASBOURG, FRANCE	public	sra	sra-sos	sra-sos.public	ERC000011	UDS	public	0	Illumina HiSeq 2000	SINGLE	unspecified	TRANSCRIPTOMIC	unspecified	2015-12-10	Lachancea kluyveri	ILLUMINA	2015-11-24	ERP012251
