delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
-971	8.97591149980197e-25	3	496	GO:0006259	DNA metabolic process	2.01060417595564e-21	BP
-1400	7.74532186286724e-17	4	149	GO:0006260	DNA replication	6.37602909352145e-14	BP
-1075	8.53932467882337e-17	5	256	GO:0006281	DNA repair	6.37602909352145e-14	BP
637	2.59075060135372e-15	2	706	GO:0035556	intracellular signal transduction	1.24847312649477e-12	BP
692	2.78677037164012e-15	2	585	GO:1902531	regulation of intracellular signal transduction	1.24847312649477e-12	BP
2088	9.96642768681411e-15	6	57	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	3.72079966974393e-12	BP
1815	1.27406502499235e-14	4	75	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	4.07700807997552e-12	BP
2027	2.13584789663277e-14	2	59	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	5.50379213800703e-12	BP
-650	2.3647207865579e-14	3	622	GO:0043436	oxoacid metabolic process	5.50379213800703e-12	BP
-1369	2.45705006161028e-14	5	130	GO:0006310	DNA recombination	5.50379213800703e-12	BP
-640	4.26731609295308e-14	2	630	GO:0006082	organic acid metabolic process	8.689807316559e-12	BP
1323	7.69478590576497e-14	3	134	GO:0019884	antigen processing and presentation of exogenous antigen	1.36626713721772e-11	BP
-667	8.02140453655454e-14	2	560	GO:0019752	carboxylic acid metabolic process	1.36626713721772e-11	BP
803	8.53916960761072e-14	4	375	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1.36626713721772e-11	BP
1326	1.00184353858669e-13	2	132	GO:0002478	antigen processing and presentation of exogenous peptide antigen	1.49608635095612e-11	BP
1458	1.22021370851002e-13	3	108	GO:0006986	response to unfolded protein	1.70829919191403e-11	BP
633	1.35552780571782e-13	3	617	GO:0032270	positive regulation of cellular protein metabolic process	1.73528748250388e-11	BP
1268	1.40138545754794e-13	2	143	GO:0019882	antigen processing and presentation	1.73528748250388e-11	BP
-689	1.53196593392851e-13	3	510	GO:0051276	chromosome organization	1.73528748250388e-11	BP
1287	1.54936382366418e-13	2	138	GO:0090150	establishment of protein localization to membrane	1.73528748250388e-11	BP
1270	1.83705384675988e-13	3	141	GO:0048002	antigen processing and presentation of peptide antigen	1.95952410321054e-11	BP
945	2.75173433487322e-13	4	255	GO:0050776	regulation of immune response	2.80176586823455e-11	BP
609	3.42679866673127e-13	2	646	GO:0051247	positive regulation of protein metabolic process	3.3374039189035e-11	BP
623	4.76462849414526e-13	2	606	GO:0043085	positive regulation of catalytic activity	4.44698659453558e-11	BP
1311	5.22233380347432e-13	2	127	GO:0035966	response to topologically incorrect protein	4.61215462431733e-11	BP
959	5.35339376036833e-13	2	241	GO:0031347	regulation of defense response	4.61215462431733e-11	BP
1356	6.02133707835531e-13	2	118	GO:0002764	immune response-regulating signaling pathway	4.99547965019107e-11	BP
1302	7.5565387444076e-13	2	127	GO:0034976	response to endoplasmic reticulum stress	6.04523099552608e-11	BP
1415	8.13733540461556e-13	2	107	GO:0006612	protein targeting to membrane	6.28539010563409e-11	BP
1332	2.27589580906556e-12	2	116	GO:0002757	immune response-activating signal transduction	1.69933553743562e-10	BP
-1450	5.79741792783042e-12	5	94	GO:0006261	DNA-dependent DNA replication	4.18910198656134e-10	BP
1059	7.08381023639959e-12	5	177	GO:0072657	protein localization to membrane	4.81105360205534e-10	BP
1213	7.0877128958851e-12	3	134	GO:0002253	activation of immune response	4.81105360205534e-10	BP
1130	8.03356875873275e-12	2	154	GO:0045088	regulation of innate immune response	5.15633625405711e-10	BP
545	8.05677539696424e-12	3	723	GO:0044093	positive regulation of molecular function	5.15633625405711e-10	BP
1965	8.66936463974683e-12	2	50	GO:0006521	regulation of cellular amino acid metabolic process	5.39427133139803e-10	BP
646	1.29767589936115e-11	7	486	GO:0031401	positive regulation of protein modification process	7.85620003937561e-10	BP
1954	1.82386891607367e-11	8	49	GO:0006977;GO:0072431;GO:1902400	signal transduction involved in mitotic G1 DNA damage checkpoint	1.07512272947501e-9	BP
741	2.23614960128627e-11	2	353	GO:0051347	positive regulation of transferase activity	1.28435259150801e-9	BP
635	3.19754297744136e-11	2	483	GO:0080134	regulation of response to stress	1.74775983060284e-9	BP
766	3.1990246899427e-11	2	324	GO:0062012	regulation of small molecule metabolic process	1.74775983060284e-9	BP
1622	3.86707497938956e-11	5	69	GO:0006613;GO:0006614;GO:0045047	protein targeting to ER	2.06243998900777e-9	BP
1390	8.36757983603663e-11	5	91	GO:0002758	innate immune response-activating signal transduction	4.35892530993536e-9	BP
1746	9.5451176014092e-11	7	57	GO:0071158	positive regulation of cell cycle arrest	4.85933259708105e-9	BP
1830	1.38070849219634e-10	5	51	GO:1902402;GO:0072422;GO:1902403;GO:0072401;GO:0072413;GO:0072395	signal transduction involved in mitotic DNA damage checkpoint	6.872860050044e-9	BP
868	1.45152042884472e-10	6	232	GO:0120035	regulation of plasma membrane bounded cell projection organization	7.06827339263516e-9	BP
1377	1.55084609212597e-10	2	90	GO:0002221	pattern recognition receptor signaling pathway	7.27665247354015e-9	BP
1276	1.55928267290146e-10	2	105	GO:0002218	activation of innate immune response	7.27665247354015e-9	BP
-707	1.78350264140841e-10	4	353	GO:0000280	nuclear division	8.15315493215273e-9	BP
849	2.39483189274359e-10	4	237	GO:0031344	regulation of cell projection organization	1.07288468794913e-8	BP
1503	2.97886292541073e-10	5	73	GO:0072599	establishment of protein localization to endoplasmic reticulum	1.29127594371775e-8	BP
800	2.99760486934478e-10	2	265	GO:0045087	innate immune response	1.29127594371775e-8	BP
1360	3.24811108388721e-10	3	89	GO:0034620	cellular response to unfolded protein	1.37278657130327e-8	BP
1016	3.78120971471794e-10	2	160	GO:0001817	regulation of cytokine production	1.5685018075867e-8	BP
1422	4.54374448389387e-10	6	80	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	1.85054320798587e-8	BP
639	4.72817478527407e-10	2	415	GO:0006955	immune response	1.89126991410963e-8	BP
-1718	5.63067146931519e-10	2	54	GO:0000236	mitotic prometaphase	2.21275510373088e-8	BP
1379	5.92608336856441e-10	4	84	GO:0030968	endoplasmic reticulum unfolded protein response	2.28869426648005e-8	BP
1438	6.14048402691447e-10	3	77	GO:0070972	protein localization to endoplasmic reticulum	2.33130241021837e-8	BP
594	7.34424024759465e-10	2	475	GO:0007167	enzyme linked receptor protein signaling pathway	2.74184969243534e-8	BP
1632	7.5259470101597e-10	5	59	GO:0031571;GO:0044783;GO:0044819	mitotic G1 DNA damage checkpoint	2.75006429904464e-8	BP
-1283	7.61178511342712e-10	6	96	GO:0006302	double-strand break repair	2.75006429904464e-8	BP
934	9.60370311309908e-10	4	181	GO:0010769	regulation of cell morphogenesis involved in differentiation	3.41464999576856e-8	BP
618	9.82069359072266e-10	2	428	GO:0002682	regulation of immune system process	3.43724275675293e-8	BP
1264	1.10355508188489e-9	2	97	GO:0006413	translational initiation	3.80302058988024e-8	BP
647	1.24726992153413e-9	2	383	GO:0042327	positive regulation of phosphorylation	4.23315852157038e-8	BP
-745	1.27868667087167e-9	2	285	GO:0051321	meiotic cell cycle	4.275012153362e-8	BP
619	2.08414003099366e-9	7	409	GO:0045937;GO:0010562	positive regulation of phosphate metabolic process	6.86540245503794e-8	BP
868	2.19651636534511e-9	2	201	GO:0010975	regulation of neuron projection development	7.13071979474355e-8	BP
1480	2.77061670288971e-9	4	67	GO:0019058	viral life cycle	8.86597344924707e-8	BP
1725	4.32121606596202e-9	5	48	GO:0006415	translational termination	1.36331323771196e-7	BP
715	4.44045730153313e-9	8	289	GO:0016567	protein ubiquitination	1.38147560492142e-7	BP
472	4.77707556491956e-9	4	703	GO:0031399	regulation of protein modification process	1.465842365126e-7	BP
818	5.41932127764194e-9	3	216	GO:0006511	ubiquitin-dependent protein catabolic process	1.64044319755648e-7	BP
1162	5.59085037153723e-9	2	105	GO:0035967	cellular response to topologically incorrect protein	1.66980064429912e-7	BP
1119	6.05706834867939e-9	2	113	GO:0048011	neurotrophin TRK receptor signaling pathway	1.7852411975055e-7	BP
1180	6.491628719971e-9	2	101	GO:0010565	regulation of cellular ketone metabolic process	1.88847380944611e-7	BP
757	6.83986980133334e-9	2	250	GO:0051603	proteolysis involved in cellular protein catabolic process	1.96427030192137e-7	BP
511	6.95009387398902e-9	2	576	GO:0042325	regulation of phosphorylation	1.97065952882727e-7	BP
730	7.50664128641652e-9	4	268	GO:0045860	positive regulation of protein kinase activity	2.10185956019663e-7	BP
747	7.65754559608956e-9	4	255	GO:0044257	cellular protein catabolic process	2.11764223891859e-7	BP
-1833	7.98713387062592e-9	5	41	GO:0022616	DNA strand elongation	2.16604545306476e-7	BP
-1006	8.02597199126674e-9	2	138	GO:0033044	regulation of chromosome organization	2.16604545306476e-7	BP
529	8.28571555644617e-9	3	528	GO:0048585	negative regulation of response to stimulus	2.18712617883744e-7	BP
1104	8.29936273219565e-9	5	114	GO:0038179	neurotrophin signaling pathway	2.18712617883744e-7	BP
755	8.44990293639774e-9	2	248	GO:0044764	multi-organism cellular process	2.20090495087569e-7	BP
908	8.96187488582486e-9	2	169	GO:0048193	Golgi vesicle transport	2.3074252579595e-7	BP
1431	9.17630268182764e-9	5	67	GO:0033238	regulation of cellular amine metabolic process	2.33578613719249e-7	BP
629	1.01749350165898e-8	2	359	GO:0070647	protein modification by small protein conjugation or removal	2.56088252102934e-7	BP
-1841	1.03898266547244e-8	2	40	GO:0006271	DNA strand elongation involved in DNA replication	2.57281196600512e-7	BP
601	1.04583513487149e-8	3	395	GO:0009894	regulation of catabolic process	2.57281196600512e-7	BP
-609	1.05669062889496e-8	2	384	GO:0048285	organelle fission	2.57281196600512e-7	BP
622	1.17204137277444e-8	2	365	GO:0001934	positive regulation of protein phosphorylation	2.8229813709836e-7	BP
-1697	1.53996983191361e-8	5	46	GO:0071897	DNA biosynthetic process	3.66176016948085e-7	BP
1475	1.55297864330661e-8	4	61	GO:0006414	translational elongation	3.66176016948085e-7	BP
-1839	1.65000870488867e-8	2	39	GO:0007131;GO:0035825	reciprocal meiotic recombination	3.8500203114069e-7	BP
699	1.73350454304007e-8	2	279	GO:0033674	positive regulation of kinase activity	4.00314451176264e-7	BP
1387	2.01660635721213e-8	4	68	GO:0000022	mitotic spindle elongation	4.60938595934201e-7	BP
1199	2.10023605950158e-8	2	91	GO:0006984	ER-nucleus signaling pathway	4.69711686764586e-7	BP
823	2.10341882670156e-8	2	196	GO:0050778	positive regulation of immune response	4.69711686764586e-7	BP
660	2.13215414579059e-8	3	310	GO:0032446	protein modification by small protein conjugation	4.69711686764586e-7	BP
1426	2.13886571651731e-8	2	64	GO:0071156	regulation of cell cycle arrest	4.69711686764586e-7	BP
550	2.18799472741604e-8	3	455	GO:0006952	defense response	4.73971750470915e-7	BP
510	2.20058312718639e-8	2	537	GO:0001932	regulation of protein phosphorylation	4.73971750470915e-7	BP
-1574	2.47406580770969e-8	2	52	GO:0044786	cell cycle DNA replication	5.27800705644734e-7	BP
985	2.60250920700891e-8	4	134	GO:0010498;GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	5.49964209783015e-7	BP
1037	2.80044372864248e-8	3	120	GO:0045089	positive regulation of innate immune response	5.8626111702422e-7	BP
1363	3.4725836583858e-8	3	68	GO:0002224	toll-like receptor signaling pathway	7.20239573591129e-7	BP
1193	3.55796379793463e-8	2	89	GO:0050770	regulation of axonogenesis	7.31177881410419e-7	BP
761	3.74399135907262e-8	2	222	GO:0019941	modification-dependent protein catabolic process	7.61709434252841e-7	BP
601	3.77454228580649e-8	2	363	GO:0031329	regulation of cellular catabolic process	7.61709434252841e-7	BP
800	4.452273037369e-8	2	198	GO:0042303	molting cycle	8.904546074738e-7	BP
-862	4.88121375318263e-8	5	169	GO:0046942;GO:0015849	organic acid transport	9.613914023726e-7	BP
1655	4.89279552993198e-8	4	45	GO:0019080;GO:0019083	viral gene expression	9.613914023726e-7	BP
-873	5.59196326113777e-8	3	163	GO:0046394;GO:0016053	organic acid biosynthetic process	1.08896966884479e-6	BP
-1405	5.63930721366053e-8	4	62	GO:0032200	telomere organization	1.08896966884479e-6	BP
-857	6.3319689067122e-8	5	168	GO:0140013	meiotic nuclear division	1.21227438897738e-6	BP
541	7.02479684025544e-8	4	435	GO:0006886	intracellular protein transport	1.33352075611629e-6	BP
-1402	7.72579749080257e-8	4	61	GO:0000723	telomere maintenance	1.4542677629746e-6	BP
1357	7.88709434449076e-8	8	65	GO:0034142	toll-like receptor 4 signaling pathway	1.47225761097161e-6	BP
737	8.24851712051355e-8	4	225	GO:0043632	modification-dependent macromolecule catabolic process	1.51813405122397e-6	BP
648	8.26840867184482e-8	2	294	GO:0022604	regulation of cell morphogenesis	1.51813405122397e-6	BP
508	9.61463457771337e-8	4	487	GO:0051338	regulation of transferase activity	1.75095784179496e-6	BP
-728	1.16202688950336e-7	2	225	GO:0015711	organic anion transport	2.09914534878026e-6	BP
648	1.17466962096475e-7	2	287	GO:0044419	interspecies interaction between organisms	2.10500796076883e-6	BP
518	1.22683501702705e-7	2	459	GO:0044265	cellular macromolecule catabolic process	2.18104003027031e-6	BP
481	1.31818441068604e-7	2	535	GO:0010259	multicellular organism aging	2.32498667711554e-6	BP
-677	1.34426366831239e-7	3	259	GO:0051186	cofactor metabolic process	2.35246141954668e-6	BP
984	1.36871865588426e-7	3	120	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	2.37668975905484e-6	BP
685	1.38836577499796e-7	5	252	GO:0006412	translation	2.39226102768879e-6	BP
1392	1.51947764261879e-7	2	59	GO:0034138	toll-like receptor 3 signaling pathway	2.59819077821839e-6	BP
647	1.5938117937689e-7	2	281	GO:0044403	symbiont process	2.70465031669874e-6	BP
1266	1.68393130699813e-7	2	71	GO:0051231	spindle elongation	2.83609483283896e-6	BP
446	1.86175396216839e-7	2	615	GO:0045184	establishment of protein localization	3.11218572780388e-6	BP
480	1.95408347984472e-7	2	522	GO:0008340	determination of adult lifespan	3.24233110729791e-6	BP
542	1.98184663265826e-7	2	402	GO:0061024	membrane organization	3.26421798320184e-6	BP
-1112	2.04000993611089e-7	4	91	GO:0015718	monocarboxylic acid transport	3.31574313259126e-6	BP
562	2.0427346084714e-7	2	371	GO:0009607	response to biotic stimulus	3.31574313259126e-6	BP
465	2.30970437376651e-7	2	553	GO:0009967	positive regulation of signal transduction	3.72211352319207e-6	BP
-838	2.58396021255299e-7	2	159	GO:0098813	nuclear chromosome segregation	4.13433634008478e-6	BP
851	2.81885406176936e-7	3	153	GO:0007264	small GTPase mediated signal transduction	4.47817950238537e-6	BP
1306	2.93099622258708e-7	6	64	GO:0030330	DNA damage response, signal transduction by p53 class mediator	4.62354333703877e-6	BP
521	3.06027229901839e-7	2	423	GO:0009968	negative regulation of signal transduction	4.79371325160923e-6	BP
1130	3.28061669601825e-7	2	85	GO:0072331	signal transduction by p53 class mediator	5.1031815271395e-6	BP
825	3.35524972988601e-7	2	161	GO:0031349	positive regulation of defense response	5.18328234134115e-6	BP
564	3.40840077131642e-7	4	354	GO:0030163	protein catabolic process	5.22932721078684e-6	BP
685	3.64870184688297e-7	2	235	GO:1903530	regulation of secretion by cell	5.55992662382167e-6	BP
864	3.86528686984868e-7	2	145	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	5.85016391112233e-6	BP
687	3.96087905570387e-7	2	232	GO:0016032	viral process	5.95461012401119e-6	BP
497	4.18244079748113e-7	3	457	GO:0023057	negative regulation of signaling	6.20954829341347e-6	BP
1377	4.1859008585064e-7	8	56	GO:0002756	MyD88-independent toll-like receptor signaling pathway	6.20954829341347e-6	BP
750	4.73000143489636e-7	3	191	GO:0051056	regulation of small GTPase mediated signal transduction	6.97052843037358e-6	BP
955	4.99938657298828e-7	3	116	GO:0031098	stress-activated protein kinase signaling cascade	7.31936334868872e-6	BP
650	5.51323488039178e-7	3	253	GO:0043408	regulation of MAPK cascade	8.01925073511532e-6	BP
488	5.65381161654877e-7	5	462	GO:0010648	negative regulation of cell communication	8.17066969101242e-6	BP
425	5.75166436476097e-7	5	626	GO:0010647	positive regulation of cell communication	8.25880011350293e-6	BP
-797	6.03372602173706e-7	2	165	GO:0051052	regulation of DNA metabolic process	8.56581803960841e-6	BP
-637	6.04196093865236e-7	2	262	GO:1903046	meiotic cell cycle process	8.56581803960841e-6	BP
-584	6.22853058009511e-7	2	314	GO:0006520	cellular amino acid metabolic process	8.77478521975663e-6	BP
-1618	6.82225639582544e-7	2	39	GO:0033260	nuclear DNA replication	9.55115895415562e-6	BP
606	6.86656701049468e-7	2	288	GO:0002684	positive regulation of immune system process	9.55348453634042e-6	BP
1125	6.94262695587209e-7	5	81	GO:0008063	Toll signaling pathway	9.59968171676141e-6	BP
429	8.24720688607378e-7	3	594	GO:0015031	protein transport	1.13335849231934e-5	BP
480	8.33163013134635e-7	3	465	GO:0044092	negative regulation of molecular function	1.13797874964731e-5	BP
859	8.46039357577312e-7	3	138	GO:0031398	positive regulation of protein ubiquitination	1.14315921298814e-5	BP
775	8.47162631053711e-7	2	170	GO:0032147	activation of protein kinase activity	1.14315921298814e-5	BP
475	8.79256309103e-7	2	473	GO:0016482	cytosolic transport	1.17936175592259e-5	BP
596	8.88923710258711e-7	2	292	GO:0071363	cellular response to growth factor stimulus	1.18523161367828e-5	BP
1348	9.20319516138476e-7	2	55	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	1.21983178470425e-5	BP
1346	9.4345067795519e-7	3	55	GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	1.24313501095272e-5	BP
517	9.79065235872997e-7	5	390	GO:0045859	regulation of protein kinase activity	1.27739104230932e-5	BP
986	9.80853836058946e-7	5	103	GO:0008286	insulin receptor signaling pathway	1.27739104230932e-5	BP
