my_title,Run,treat,treatDescription,bleachGeneral,bleachSpecific,measurement,quote,title,notes,ref
A_moya_acid_PRJNA149513,SRR401853,control,Control 1,none,none,none,none,,,(Moya et al. 2012)
A_moya_acid_PRJNA149513,SRR401854,control,Control 2,none,none,none,none,,,(Moya et al. 2012)
A_moya_acid_PRJNA149513,SRR401855,control,Control 3,none,none,none,none,,,(Moya et al. 2012)
A_moya_acid_PRJNA149513,SRR401856,low_pH,750 ppm 1,none,none,none,none,,,(Moya et al. 2012)
A_moya_acid_PRJNA149513,SRR401857,low_pH,750 ppm 2,none,none,none,none,,,(Moya et al. 2012)
A_moya_acid_PRJNA149513,SRR401858,low_pH,750 ppm 3,none,none,none,none,,,(Moya et al. 2012)
A_moya_acid_PRJNA149513,SRR401859,low_pH,1000 ppm 1,none,none,none,none,,,(Moya et al. 2012)
A_moya_acid_PRJNA149513,SRR401860,low_pH,1000 ppm 2,none,none,none,none,,,(Moya et al. 2012)
A_moya_acid_PRJNA149513,SRR401861,low_pH,1000 ppm 3,none,none,none,none,,,(Moya et al. 2012)
B_whiteBand_PRJNA222758,SRR1015321,control,healthy,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015323,control,healthy,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015327,control,healthy,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015340,challenge,white band,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015349,challenge,white band,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015354,challenge,white band,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015298,control,healthy,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015358,control,healthy,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015325,control,healthy,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015331,challenge,white band,none,none,none,none,,,(Libro et al. 2013)
B_whiteBand_PRJNA222758,SRR1015344,challenge,white band,none,none,none,none,,,(Libro et al. 2013)
E_aspera_PRJNA266455,SRR1653615,control,ambient 24 hrs,none,1.5,symbiont cell density (10^6/cm^2),"There was no difference in the algal cell density between treatment and control (Additional file 1A, t-test; p > 0.05) ",Early transcriptional changes in the reef-building coral Acropora aspera in response to thermal and nutrient stress,values for symbiont cell density entered by eye from figure; also had chlorophyll a measures,(Rosic et al. 2014)
E_aspera_PRJNA266455,SRR1654665,control,ambient 24 hrs,none,1.5,symbiont cell density (10^6/cm^2),"There was no difference in the algal cell density between treatment and control (Additional file 1A, t-test; p > 0.05) ",Early transcriptional changes in the reef-building coral Acropora aspera in response to thermal and nutrient stress,values for symbiont cell density entered by eye from figure; also had chlorophyll a measures,(Rosic et al. 2014)
E_aspera_PRJNA266455,SRR1653613,control,ambient 72 hrs,none,1.7,symbiont cell density (10^6/cm^2),"There was no difference in the algal cell density between treatment and control (Additional file 1A, t-test; p > 0.05) ",Early transcriptional changes in the reef-building coral Acropora aspera in response to thermal and nutrient stress,values for symbiont cell density entered by eye from figure; also had chlorophyll a measures,(Rosic et al. 2014)
E_aspera_PRJNA266455,SRR1654664,control,ambient 72 hrs,none,1.7,symbiont cell density (10^6/cm^2),"There was no difference in the algal cell density between treatment and control (Additional file 1A, t-test; p > 0.05) ",Early transcriptional changes in the reef-building coral Acropora aspera in response to thermal and nutrient stress,values for symbiont cell density entered by eye from figure; also had chlorophyll a measures,(Rosic et al. 2014)
E_aspera_PRJNA266455,SRR1653611,heat,6DegreeOverAmbient 24 hrs,none,1.8,symbiont cell density (10^6/cm^2),"There was no difference in the algal cell density between treatment and control (Additional file 1A, t-test; p > 0.05) ",Early transcriptional changes in the reef-building coral Acropora aspera in response to thermal and nutrient stress,values for symbiont cell density entered by eye from figure; also had chlorophyll a measures,(Rosic et al. 2014)
E_aspera_PRJNA266455,SRR1653608,heat,6DegreeOverAmbient 72 hrs,none,1.5,symbiont cell density (10^6/cm^2),"There was no difference in the algal cell density between treatment and control (Additional file 1A, t-test; p > 0.05) ",Early transcriptional changes in the reef-building coral Acropora aspera in response to thermal and nutrient stress,values for symbiont cell density entered by eye from figure; also had chlorophyll a measures,(Rosic et al. 2014)
F_Uqueensland_ph_PRJNA269992,SRR1703716,control,preindusctrial,mild,1.3,symbiont cell density (10^6/cm^2),"Our study shows that exposure of the reef-building coral, A. millepora, to predicted future pH and temperature conditions under the business-as-usual projection RCP8.5, results in corals with reduced Symbiodinium populations and chlorophyll a levels, indicating mild coral bleach- ing ",Transcriptomic Changes in Coral Holobionts Provide Insights into Physiological Challenges of Future Climate and Ocean Change,filled values in by eye from figure; had lots of other bleaching measures,(Kaniewska et al. 2015)
F_Uqueensland_ph_PRJNA269992,SRR1703717,control,present day,mild,1.8,symbiont cell density (10^6/cm^2),"Our study shows that exposure of the reef-building coral, A. millepora, to predicted future pH and temperature conditions under the business-as-usual projection RCP8.5, results in corals with reduced Symbiodinium populations and chlorophyll a levels, indicating mild coral bleach- ing ",Transcriptomic Changes in Coral Holobionts Provide Insights into Physiological Challenges of Future Climate and Ocean Change,filled values in by eye from figure; had lots of other bleaching measures,(Kaniewska et al. 2015)
F_Uqueensland_ph_PRJNA269992,SRR1706955,low_pH,RCP4.5,mild,1.6,symbiont cell density (10^6/cm^2),"Our study shows that exposure of the reef-building coral, A. millepora, to predicted future pH and temperature conditions under the business-as-usual projection RCP8.5, results in corals with reduced Symbiodinium populations and chlorophyll a levels, indicating mild coral bleach- ing ",Transcriptomic Changes in Coral Holobionts Provide Insights into Physiological Challenges of Future Climate and Ocean Change,filled values in by eye from figure; had lots of other bleaching measures,(Kaniewska et al. 2015)
F_Uqueensland_ph_PRJNA269992,SRR1703718,low_pH,RCP8.5,mild,0.8,symbiont cell density (10^6/cm^2),"Our study shows that exposure of the reef-building coral, A. millepora, to predicted future pH and temperature conditions under the business-as-usual projection RCP8.5, results in corals with reduced Symbiodinium populations and chlorophyll a levels, indicating mild coral bleach- ing ",Transcriptomic Changes in Coral Holobionts Provide Insights into Physiological Challenges of Future Climate and Ocean Change,filled values in by eye from figure; had lots of other bleaching measures,(Kaniewska et al. 2015)
H_matz_heatTolLat_PRJNA279192,SRR1929604,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929603,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929601,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929602,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929600,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929599,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929598,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929597,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929596,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929595,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929594,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929593,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929592,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929591,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929590,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929589,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929588,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929587,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929586,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929585,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929584,heat,3 days at 31.5C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929583,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929582,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
H_matz_heatTolLat_PRJNA279192,SRR1929581,control,3 days at 28C,none,none,none,none,Genomic determinants of coral heat tolerance across latitudes,personal communication,(Dixon et al. 2014)
J_weiss_immune_PRJNA200542,SRR835875,control,control,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835876,control,control,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835877,control,control,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835878,control,control,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835879,control,control,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835880,control,control,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835881,control,control,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835882,control,control,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835883,challenge,bacterial mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835884,challenge,bacterial mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835885,challenge,bacterial mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835886,challenge,bacterial mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835887,challenge,bacterial mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835888,challenge,bacterial mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835891,challenge,viral mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835889,challenge,bacterial mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835890,challenge,bacterial mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835892,challenge,viral mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835893,challenge,viral mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835895,challenge,viral mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835896,challenge,viral mimic,none,none,none,none,,,(Weiss et al. 2013)
J_weiss_immune_PRJNA200542,SRR835894,challenge,viral mimic,none,none,none,none,,,(Weiss et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629090,heat,01_h_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629091,control,02_c_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629092,heat,02_h_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629093,control,03_c_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629094,control,06_c_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629096,control,09_c_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629126,heat,09_h_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629130,heat,31_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629131,control,40_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629132,heat,40_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629135,control,45_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629150,control,55_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629151,heat,55_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629155,heat,65_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629089,control,01_c_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629095,heat,06_h_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629127,control,75_c_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629128,heat,75_h_HV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629129,control,31_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
